道下大樹,41,139110,53.48,立憲,新,1,1
船橋利実,56,120987,46.52,自民,元,2,0
吉川貴盛,67,104824,41.35,自民,前,6,1
松木謙公,58,74425,29.36,希望,前,4,0
金倉昌俊,43,52626,20.76,共産,新,0,0
小和田康文,47,21643,8.54,維新,新,0,0
荒井聰,71,141680,54.36,立憲,前,8,1
高木宏寿,57,118961,45.64,自民,前,2,0
中村裕之,56,104054,45.92,自民,前,3,1
本多平直,52,90619,39.99,立憲,元,3,0
高橋美穂,52,31941,14.09,希望,元,1,0
和田義明,46,142687,49.84,自民,前,2,1
池田真紀,45,135948,47.49,立憲,新,1,0
森山佳則,50,7632,2.67,諸派,新,0,0
佐々木隆博,68,136312,54.49,立憲,前,4,1
今津寛,71,113851,45.51,自民,前,7,0
伊東良孝,68,95200,66.6,自民,前,4,1
石川明美,66,47740,33.4,共産,新,0,0
逢坂誠二,58,125771,55.4,立憲,前,4,1
前田一男,51,101243,44.6,自民,前,2,0
堀井学,45,108747,46.75,自民,前,3,1
山岡達丸,38,88320,37.97,希望,元,2,0
松橋千春,35,35543,15.28,共産,新,0,0
稲津久,59,96795,50.13,公明,前,4,1
神谷裕,49,96282,49.87,立憲,新,1,0
石川香織,33,98214,54.47,立憲,新,1,1
中川郁子,58,82096,45.53,自民,前,2,0
武部新,47,97113,54.14,自民,前,3,1
水上美華,35,58422,32.57,希望,新,0,0
菅原誠,44,23830,13.29,共産,新,0,0
津島淳,51,103177,54.93,自民,前,3,1
升田世喜男,60,64173,34.16,希望,前,1,0
赤平勇人,27,20497,10.91,共産,新,0,0
大島理森,71,133545,64.03,自民,前,12,1
工藤武司,45,56011,26.86,希望,新,0,0
奥本菜保巳,57,19004,9.11,共産,新,0,0
木村次郎,49,128740,64.22,自民,新,1,1
山内崇,62,51096,25.49,希望,新,0,0
高柳博明,47,16510,8.24,共産,新,0,0
三国佑貴,32,4115,2.05,諸派,新,0,0
階猛,51,87534,52.58,希望,前,5,1
高橋比奈子,59,57381,34.47,自民,前,3,0
吉田恭子,36,21549,12.95,共産,新,0,0
鈴木俊一,64,129884,56.79,自民,前,9,1
畑浩治,54,98842,43.21,希望,元,2,0
小沢一郎,75,130229,57.42,無所,前,17,1
藤原崇,34,96571,42.58,自民,前,3,0
土井亨,59,100123,46.17,自民,前,4,1
岡本章子,53,78704,36.3,立憲,新,1,0
伊藤優太,32,24047,11.09,希望,新,0,0
畠山昌樹,43,10001,4.61,維新,新,0,0
油井哲史,37,2413,1.11,諸派,新,0,0
今留尚人,52,1547,0.71,無所,新,0,0
秋葉賢也,55,111559,50.3,自民,前,6,1
鎌田さゆり,52,110243,49.7,無所,元,2,0
西村明宏,57,92893,60.31,自民,前,5,1
一條芳弘,44,40670,26.4,希望,新,0,0
吉田剛,35,20469,13.29,共産,新,0,0
伊藤信太郎,64,73298,58.45,自民,前,6,1
坂東毅彦,58,34424,27.45,希望,新,0,0
高村直也,34,17688,14.1,共産,新,0,0
安住淳,55,89423,63.91,無所,前,8,1
勝沼栄明,42,50496,36.09,自民,前,2,0
小野寺五典,57,123871,85.72,自民,前,7,1
横田有史,73,20638,14.28,共産,新,0,0
冨樫博之,62,79442,53.72,自民,前,3,1
松浦大悟,48,53850,36.42,希望,新,0,0
斉藤大悟,38,14584,9.86,共産,新,0,0
金田勝年,68,74835,46.3,自民,前,4,1
緑川貴士,32,73163,45.26,希望,新,1,0
藤本友里,38,13642,8.44,共産,新,0,0
御法川信英,53,107432,50.57,自民,前,5,1
村岡敏英,57,93746,44.13,希望,前,2,0
冨岡昭,67,11274,5.31,共産,新,0,0
遠藤利明,67,104227,57.27,自民,前,8,1
荒井寛,44,62407,34.29,希望,新,0,0
石川渉,43,15354,8.44,共産,新,0,0
鈴木憲和,35,109949,51.64,自民,前,3,1
近藤洋介,52,92035,43.23,希望,前,5,0
岩本康嗣,52,10923,5.13,共産,新,0,0
加藤鮎子,38,103973,52.18,自民,前,2,1
阿部寿一,58,81708,41.01,希望,元,1,0
加藤太一,66,11241,5.64,共産,新,0,0
城取良太,40,2329,1.17,諸派,新,0,0
金子恵美,52,126664,52.74,無所,前,2,1
亀岡偉民,62,113514,47.26,自民,前,4,0
根本匠,66,96892,52.59,自民,前,8,1
岡部光規,49,59377,32.23,希望,新,0,0
平善彦,65,18279,9.92,共産,新,0,0
西村恵美,54,9685,5.26,維新,新,0,0
玄葉光一郎,53,92930,56.62,無所,前,9,1
上杉謙太郎,42,60006,36.56,自民,新,1,0
橋本健二,69,11196,6.82,共産,新,0,0
菅家一郎,62,68282,44.66,自民,前,3,1
小熊慎司,49,67073,43.86,希望,前,3,0
古川芳憲,66,9492,6.21,共産,新,0,0
渡辺敏雄,68,8063,5.27,社民,新,0,0
吉野正芳,69,86461,53.61,自民,前,7,1
吉田泉,68,51478,31.92,希望,前,5,0
熊谷智,37,16154,10.02,共産,新,0,0
遠藤陽子,67,7186,4.46,社民,新,0,0
田所嘉徳,63,100875,48.43,自民,前,3,1
福島伸享,47,82835,39.77,希望,前,2,0
大内久美子,68,22034,10.58,共産,新,0,0
川辺賢一,30,2564,1.23,諸派,新,0,0
額賀福志郎,73,104183,59.21,自民,前,12,1
石津政雄,70,57098,32.45,希望,元,1,0
星野文雄,69,14675,8.34,共産,新,0,0
葉梨康弘,58,113068,57.04,自民,前,5,1
樋口舞,44,51060,25.76,希望,新,0,0
林京,67,34112,17.21,共産,新,0,0
梶山弘志,62,97966,69.95,自民,前,7,1
大熊利昭,54,29547,21.1,希望,元,1,0
堀江鶴治,75,12548,8.96,共産,新,0,0
石川昭政,45,61450,48.17,自民,前,3,1
浅野哲,35,56098,43.97,希望,新,1,0
川崎篤子,64,10027,7.86,共産,新,0,0
国光文乃,38,102820,45.89,自民,新,1,1
青山大人,38,96987,43.29,希望,新,1,0
古沢喜幸,71,24227,10.81,共産,新,0,0
中村喜四郎,68,77719,48.99,無所,前,14,1
永岡桂子,63,62617,39.47,自民,前,5,0
石嶋巌,63,18308,11.54,共産,新,0,0
船田元,63,109139,51.87,自民,前,12,1
柏倉祐司,48,51122,24.3,希望,元,1,0
渡辺典喜,34,33681,16.01,無所,新,0,0
青木弘,56,16463,7.82,共産,新,0,0
福田昭夫,69,75031,53.41,無所,前,5,1
西川公也,74,65445,46.59,自民,前,6,0
簗和生,38,74371,57.77,自民,前,3,1
渡辺美由紀,58,42820,33.26,希望,新,0,0
槙昌三,74,9990,7.76,共産,新,0,0
石渡剛,48,1561,1.21,諸派,新,0,0
佐藤勉,65,111167,54.44,自民,前,8,1
藤岡隆雄,40,76294,37.36,希望,新,0,0
山崎寿彦,64,16741,8.2,共産,新,0,0
茂木敏充,62,89403,61.95,自民,前,9,1
大豆生田実,51,41438,28.71,希望,新,0,0
川上均,61,13485,9.34,共産,新,0,0
尾身朝子,56,92641,48.75,自民,前,2,1
宮崎岳志,47,71569,37.66,希望,前,2,0
店橋世津子,56,25818,13.59,共産,新,0,0
井野俊郎,37,89219,55.88,自民,前,3,1
石関貴史,45,48545,30.4,希望,前,4,0
長谷田直之,61,21908,13.72,共産,新,0,0
笹川博義,51,83446,55.3,自民,前,3,1
長谷川嘉一,64,67456,44.7,立憲,新,1,0
福田達夫,50,93262,60.78,自民,前,3,1
不破弘樹,51,36167,23.57,希望,新,0,0
萩原貞夫,68,24006,15.65,共産,新,0,0
小渕優子,43,109453,64.95,自民,前,7,1
猪口幸子,61,30127,17.88,希望,新,0,0
伊藤達也,34,14935,8.86,共産,新,0,0
高橋宣之,63,14008,8.31,社民,新,0,0
村井英樹,37,106699,46.88,自民,前,3,1
武正公一,56,75716,33.27,希望,前,6,0
鳥羽恵,58,33593,14.76,共産,新,0,0
小檜山清人,60,11577,5.09,維新,新,0,0
新藤義孝,59,110072,52.49,自民,前,7,1
菅克己,51,64783,30.89,希望,新,0,0
平川道也,45,34846,16.62,共産,新,0,0
黄川田仁志,47,95093,44.62,自民,前,3,1
山川百合子,48,73250,34.37,立憲,新,1,0
三輪麻美,30,29867,14.01,希望,新,0,0
谷古宇勘司,66,10864,5.1,維新,新,0,0
石川英行,54,2040,0.96,無所,新,0,0
